,country,year,sex,age,cases
0,AD,1989,m,0-14,0
1,AD,1990,m,0-14,0
2,AD,1991,m,0-14,0
3,AD,1992,m,0-14,0
4,AD,1993,m,0-14,0
5,AD,1994,m,0-14,0
6,AD,1996,m,0-14,0
7,AD,1997,m,0-14,0
8,AD,1998,m,0-14,0
9,AD,1999,m,0-14,0
10,AD,2000,m,0-14,0
11,AD,2001,m,0-14,0
12,AD,2002,m,0-14,0
13,AD,2003,m,0-14,0
14,AD,2004,m,0-14,0
15,AD,2005,m,0-14,0
16,AD,2006,m,0-14,0
17,AD,2007,m,0-14,0
18,AD,2008,m,0-14,0
19,AE,1980,m,0-14,0
20,AE,1981,m,0-14,0
21,AE,1982,m,0-14,0
22,AE,1983,m,0-14,0
23,AE,1984,m,0-14,0
24,AE,1985,m,0-14,0
25,AE,1986,m,0-14,0
26,AE,1987,m,0-14,0
27,AE,1988,m,0-14,0
28,AE,1989,m,0-14,0
29,AE,1990,m,0-14,0
30,AE,1991,m,0-14,0
31,AE,1992,m,0-14,0
32,AE,1994,m,0-14,0
33,AE,1996,m,0-14,0
34,AE,1998,m,0-14,0
35,AE,1999,m,0-14,4
36,AE,2000,m,0-14,2
37,AE,2001,m,0-14,0
38,AE,2002,m,0-14,1
39,AE,2003,m,0-14,2
40,AE,2004,m,0-14,1
41,AE,2005,m,0-14,0
42,AE,2006,m,0-14,0
43,AE,2007,m,0-14,2
44,AE,2008,m,0-14,0
45,AF,1980,m,0-14,0
46,AF,1981,m,0-14,0
47,AF,1982,m,0-14,0
48,AF,1983,m,0-14,0
49,AF,1984,m,0-14,0
50,AF,1985,m,0-14,0
51,AF,1986,m,0-14,0
52,AF,1987,m,0-14,0
53,AF,1988,m,0-14,0
54,AF,1989,m,0-14,0
55,AF,1990,m,0-14,0
56,AF,1991,m,0-14,0
57,AF,1997,m,0-14,0
58,AF,1998,m,0-14,30
59,AF,1999,m,0-14,8
60,AF,2000,m,0-14,52
61,AF,2001,m,0-14,129
62,AF,2002,m,0-14,90
63,AF,2003,m,0-14,127
64,AF,2004,m,0-14,139
65,AF,2005,m,0-14,151
66,AF,2006,m,0-14,193
67,AF,2007,m,0-14,186
68,AF,2008,m,0-14,187
69,AG,1980,m,0-14,0
70,AG,1981,m,0-14,0
71,AG,1982,m,0-14,0
72,AG,1983,m,0-14,0
73,AG,1984,m,0-14,0
74,AG,1985,m,0-14,0
75,AG,1986,m,0-14,0
76,AG,1987,m,0-14,0
77,AG,1988,m,0-14,0
78,AG,1989,m,0-14,0
79,AG,1990,m,0-14,0
80,AG,1991,m,0-14,0
81,AG,1992,m,0-14,0
82,AG,1995,m,0-14,0
83,AG,1996,m,0-14,0
84,AG,1997,m,0-14,0
85,AG,1998,m,0-14,0
86,AG,1999,m,0-14,0
87,AG,2000,m,0-14,0
88,AG,2001,m,0-14,0
89,AG,2002,m,0-14,0
90,AG,2003,m,0-14,0
91,AG,2004,m,0-14,0
92,AG,2005,m,0-14,0
93,AG,2006,m,0-14,0
94,AG,2007,m,0-14,0
95,AG,2008,m,0-14,0
96,AI,1980,m,0-14,0
97,AI,1981,m,0-14,0
98,AI,1982,m,0-14,0
99,AI,1983,m,0-14,0
100,AI,1984,m,0-14,0
101,AI,1985,m,0-14,0
102,AI,1986,m,0-14,0
103,AI,1987,m,0-14,0
104,AI,1988,m,0-14,0
105,AI,1989,m,0-14,0
106,AI,1990,m,0-14,0
107,AI,1991,m,0-14,0
108,AI,1992,m,0-14,0
109,AI,1995,m,0-14,0
110,AI,1997,m,0-14,0
111,AI,2001,m,0-14,0
112,AI,2002,m,0-14,0
113,AI,2003,m,0-14,0
114,AI,2004,m,0-14,0
115,AI,2006,m,0-14,0
116,AI,2007,m,0-14,0
117,AI,2008,m,0-14,0
118,AL,1980,m,0-14,0
119,AL,1981,m,0-14,0
120,AL,1982,m,0-14,0
121,AL,1983,m,0-14,0
122,AL,1984,m,0-14,0
123,AL,1985,m,0-14,0
124,AL,1986,m,0-14,0
125,AL,1987,m,0-14,0
126,AL,1988,m,0-14,0
127,AL,1989,m,0-14,0
128,AL,1990,m,0-14,0
129,AL,1991,m,0-14,0
130,AL,1994,m,0-14,0
131,AL,1995,m,0-14,0
132,AL,1996,m,0-14,0
133,AL,1997,m,0-14,0
134,AL,1998,m,0-14,1
135,AL,1999,m,0-14,0
136,AL,2000,m,0-14,2
137,AL,2001,m,0-14,3
138,AL,2002,m,0-14,0
139,AL,2003,m,0-14,0
140,AL,2004,m,0-14,5
141,AL,2005,m,0-14,0
142,AL,2006,m,0-14,5
143,AL,2007,m,0-14,0
144,AL,2008,m,0-14,1
145,AM,1980,m,0-14,0
146,AM,1981,m,0-14,0
147,AM,1982,m,0-14,0
148,AM,1983,m,0-14,0
149,AM,1984,m,0-14,0
150,AM,1985,m,0-14,0
151,AM,1986,m,0-14,0
152,AM,1987,m,0-14,0
153,AM,1988,m,0-14,0
154,AM,1989,m,0-14,0
155,AM,1990,m,0-14,0
156,AM,1991,m,0-14,0
157,AM,1992,m,0-14,0
158,AM,1993,m,0-14,0
159,AM,1994,m,0-14,0
160,AM,1995,m,0-14,1
161,AM,1996,m,0-14,2
162,AM,1997,m,0-14,2
163,AM,1998,m,0-14,2
164,AM,1999,m,0-14,4
165,AM,2000,m,0-14,2
166,AM,2001,m,0-14,2
167,AM,2002,m,0-14,1
168,AM,2003,m,0-14,12
169,AM,2004,m,0-14,2
170,AM,2005,m,0-14,3
171,AM,2006,m,0-14,0
172,AM,2007,m,0-14,1
173,AM,2008,m,0-14,0
174,AN,1996,m,0-14,0
175,AN,1997,m,0-14,0
176,AN,1998,m,0-14,0
177,AN,1999,m,0-14,0
178,AN,2000,m,0-14,0
179,AN,2001,m,0-14,0
180,AN,2002,m,0-14,0
181,AN,2003,m,0-14,0
182,AN,2004,m,0-14,1
183,AN,2005,m,0-14,0
184,AN,2006,m,0-14,0
185,AN,2007,m,0-14,0
186,AN,2008,m,0-14,0
187,AO,1980,m,0-14,0
188,AO,1981,m,0-14,0
189,AO,1982,m,0-14,0
190,AO,1983,m,0-14,0
191,AO,1984,m,0-14,0
192,AO,1985,m,0-14,0
193,AO,1986,m,0-14,0
194,AO,1987,m,0-14,0
195,AO,1988,m,0-14,0
196,AO,1989,m,0-14,0
197,AO,1990,m,0-14,0
198,AO,1991,m,0-14,0
199,AO,1992,m,0-14,0
200,AO,1993,m,0-14,0
201,AO,1994,m,0-14,0
202,AO,1995,m,0-14,386
203,AO,1996,m,0-14,360
204,AO,1997,m,0-14,419
